i,CT,TC,CP,PC,CQ,QC,eta,it
1,0.2905985399579166,0.2018045416374421,1.30420319753673,0.7547472207967186,0.15834781176272839,0.10996375816856138,0.26738030439438415,109.0
3,0.27369484781903985,0.1900658665409999,1.2283396046195318,0.7108446785992659,0.16533982390825122,0.1148193221585078,0.2673803043943842,90.0
5,0.2751594925319137,0.19108298092494008,1.2349129147196514,0.7146486774997981,0.1684973002188649,0.1170120140408784,0.26738030439438415,90.0
7,0.2756653679673037,0.19143428331062756,1.2371832783645835,0.7159625453498746,0.16957505168562073,0.11776045255945886,0.2673803043943842,93.0
9,0.27589076972390775,0.1915908123082693,1.2381948790826602,0.716547962432095,0.17009523814786925,0.11812169315824254,0.26738030439438415,93.0
11,0.27605604608361717,0.19170558755806746,1.2389366376504818,0.7169772208625471,0.1704827537953472,0.1183908012467689,0.2673803043943842,92.0
13,0.27609273461883327,0.19173106570752313,1.2391012954114904,0.7170725089186865,0.17067539136930782,0.1185245773397971,0.26738030439438415,89.0
15,0.27618786763048514,0.19179713029894802,1.239528251369375,0.7173195899128326,0.17085391671705225,0.11864855327573073,0.26738030439438415,90.0
17,0.2761905243442638,0.19179897523907208,1.2395401746729318,0.7173264899727613,0.17088627005358184,0.11867102087054296,0.26738030439438415,97.0
19,0.2761941784919352,0.1918015128416217,1.2395565744493315,0.7173359805841037,0.17097616422782239,0.11873344738043223,0.26738030439438415,90.0
21,0.2762655334116112,0.19185106486917447,1.2398768145799766,0.7175213047337826,0.17116502043424833,0.11886459752378357,0.26738030439438415,93.0
23,0.27626464318990857,0.19185044665965872,1.2398728192743178,0.7175189926356004,0.1711635222133396,0.11886355709259695,0.26738030439438415,90.0
25,0.276263647464843,0.19184975518391875,1.2398683504706736,0.7175164065223804,0.1711643571268845,0.11886413689366979,0.26738030439438415,90.0
27,0.2762624904166067,0.19184895167819913,1.239863157650332,0.7175134014180161,0.17116770611316695,0.11886646257858817,0.2673803043943842,92.0
29,0.27626107855165466,0.19184797121642688,1.2398568212152448,0.7175097344995628,0.17117389368943,0.11887075950654863,0.2673803043943842,91.0
